Ident,Grade,Salary,Job Fxn Group,F1,F2,F3,F4,F5,F6,F7,F8,F9,Level Descr,L1,L2,L3,L4,L5,L6,L7,L8,Gender,Reten,Ethnic Group,Minority,P2,P1,Yrs of Service,Service Cat,S1,S2,S3,S4,EE Age,Age Cat,Yrs in Job,LevDescN,ServCatN,PerfN
499899,014,209000,Gen Admin,1,0,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,WHITE,0,0,0,23.0,10+,0,0,0,1,60,1,17.75,8,5,1
500051,012,105504,R&I,0,0,0,0,0,0,1,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,WHITE,0,1,0,19.9,10+,0,0,0,1,58,1,4.25,6,5,2
500143,012,118064,Mktg,0,0,0,0,0,0,0,1,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,WHITE,0,0,0,33.3,10+,0,0,0,1,66,1,11.25,6,5,1
500149,010,99408,Mfg,0,0,0,0,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,1,0,ASIAN,1,0,0,29.7,10+,0,0,0,1,66,1,3.083333333,2,5,1
500161,011,96324,R&I,0,0,0,0,0,0,1,0,0,Manager,0,0,0,1,0,0,0,0,1,0,WHITE,0,0,0,21.2,10+,0,0,0,1,65,1,7.083333333,5,5,1
500169,011,92136,IT,0,0,0,0,0,1,0,0,0,Manager,0,0,0,1,0,0,0,0,1,0,WHITE,0,0,0,34.4,10+,0,0,0,1,65,1,4.583333333,5,5,1
500174,013,173003,Mfg,0,0,0,0,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,0,0,33.0,10+,0,0,0,1,65,1,18.25,7,5,1
500194,011,98418,SuppChain,0,0,0,1,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,0,0,WHITE,0,0,0,45.6,10+,0,0,0,1,64,1,0.5,5,5,1
500200,012,109272,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,0,WHITE,0,0,0,34.9,10+,0,0,0,1,64,1,12.08333333,6,5,1
500225,014,195000,HR,0,0,1,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,1,31.8,10+,0,0,0,1,64,1,16.75,8,5,3
500232,014,178150,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,WHITE,0,0,0,31.8,10+,0,0,0,1,63,1,7.25,8,5,1
500247,012,118064,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,TWO,1,1,0,33.2,10+,0,0,0,1,63,1,12.75,6,5,2
500250,015,249200,Fin & Acct,0,0,0,0,1,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,1,0,WHITE,0,1,0,35.4,10+,0,0,0,1,63,1,8.666666667,9,5,2
500272,014,154000,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,WHITE,0,1,0,33.6,10+,0,0,0,1,62,1,8.666666667,8,5,2
